Image_name,Class
0.jpg,Kana
1.jpg,Kana
10.jpg,Kana
11.jpg,Kana
12.jpg,Kana
13.jpg,Kana
14.jpg,Kana
15.jpg,Kana
16.jpg,Kana
17.jpg,Kana
18.jpg,Kana
19.jpg,Kana
2.jpg,Kana
20.jpg,Kana
21.jpg,Kana
22.jpg,Kana
23.jpg,Kana
24.jpg,Kana
25.jpg,Kanji
26.jpg,Kana
27.jpg,Kana
28.jpg,Kana
29.jpg,Kana
3.jpg,Kana
30.jpg,Kana
31.jpg,Kana
32.jpg,Kana
33.jpg,Kana
34.jpg,Kana
35.jpg,Kana
36.jpg,Kana
37.jpg,Kana
38.jpg,Kana
39.jpg,Kana
4.jpg,Kana
40.jpg,Kana
41.jpg,Kana
42.jpg,Kana
43.jpg,Kanji
44.jpg,Kana
45.jpg,Kana
46.jpg,Kana
47.jpg,Kanji
48.jpg,Kana
49.jpg,Kana
5.jpg,Kana
50.jpg,Kana
51.jpg,Kana
52.jpg,Kana
53.jpg,Kanji
54.jpg,Kana
55.jpg,Kana
56.jpg,Kana
57.jpg,Kana
58.jpg,Kanji
59.jpg,Kana
6.jpg,Kana
60.jpg,Kana
61.jpg,Kana
62.jpg,Kana
7.jpg,Kana
8.jpg,Kana
9.jpg,Kana
