Image_name,Class
0.jpg,Kana
1.jpg,Kana
10.jpg,Kana
100.jpg,Kana
101.jpg,Kana
102.jpg,Kana
103.jpg,Kana
104.jpg,Kana
105.jpg,Kana
106.jpg,Kana
107.jpg,Kana
108.jpg,Kana
109.jpg,Kana
11.jpg,Kana
12.jpg,Kana
13.jpg,Kana
14.jpg,Kana
15.jpg,Kana
16.jpg,Kana
17.jpg,Kana
18.jpg,Kana
19.jpg,Kana
2.jpg,Kana
20.jpg,Kana
21.jpg,Kana
22.jpg,Kana
23.jpg,Kana
24.jpg,Kana
25.jpg,Kana
26.jpg,Kana
27.jpg,Kana
28.jpg,Kana
29.jpg,Kana
3.jpg,Kana
30.jpg,Kana
31.jpg,Kana
32.jpg,Kana
33.jpg,Kana
34.jpg,Kana
35.jpg,Kana
36.jpg,Kana
37.jpg,Kana
38.jpg,Kana
39.jpg,Kana
4.jpg,Kana
40.jpg,Kana
41.jpg,Kana
42.jpg,Kana
43.jpg,Kana
44.jpg,Kana
45.jpg,Kana
46.jpg,Kana
47.jpg,Kana
48.jpg,Kana
49.jpg,Kana
5.jpg,Kana
50.jpg,Kana
51.jpg,Kana
52.jpg,Kana
53.jpg,Kana
54.jpg,Kana
55.jpg,Kana
56.jpg,Kana
57.jpg,Kana
58.jpg,Kana
59.jpg,Kana
6.jpg,Kana
60.jpg,Kana
61.jpg,Kana
62.jpg,Kana
63.jpg,Kana
64.jpg,Kana
65.jpg,Kana
66.jpg,Kana
67.jpg,Kana
68.jpg,Kana
69.jpg,Kana
7.jpg,Kana
70.jpg,Kana
71.jpg,Kana
72.jpg,Kana
73.jpg,Kana
74.jpg,Kana
75.jpg,Kana
76.jpg,Kana
77.jpg,Kana
78.jpg,Kana
79.jpg,Kana
8.jpg,Kana
80.jpg,Kana
81.jpg,Kana
82.jpg,Kana
83.jpg,Kana
84.jpg,Kana
85.jpg,Kana
86.jpg,Kana
87.jpg,Kana
88.jpg,Kana
89.jpg,Kana
9.jpg,Kana
90.jpg,Kana
91.jpg,Kana
92.jpg,Kana
93.jpg,Kana
94.jpg,Kana
95.jpg,Kana
96.jpg,Kana
97.jpg,Kana
98.jpg,Kana
99.jpg,Kana
