file,height,width,merge_eps_px,corners_raw,corners_merged
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c1.png,65,36,2,62,54
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c10.png,42,45,2,59,50
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c100.png,44,32,2,43,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c101.png,41,31,2,36,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c102.png,45,24,2,38,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c103.png,36,32,2,43,35
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c104.png,31,25,2,24,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c105.png,30,19,2,21,16
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c106.png,26,30,2,14,12
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c107.png,21,24,2,13,12
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c108.png,28,31,2,32,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c109.png,20,31,2,17,16
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c11.png,38,43,2,46,42
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c111.png,57,40,2,69,57
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c112.png,48,40,2,58,41
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c113.png,54,43,2,82,59
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c114.png,42,37,2,42,37
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c115.png,45,50,2,55,46
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c116.png,44,44,2,57,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c117.png,27,38,2,31,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c118.png,31,38,2,46,36
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c119.png,26,28,2,20,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c12.png,39,41,2,53,34
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c120.png,27,37,2,22,17
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c121.png,31,24,2,26,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c122.png,26,33,2,29,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c123.png,63,40,2,81,65
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c124.png,53,53,2,87,77
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c125.png,48,60,2,59,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c126.png,54,27,2,38,36
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c127.png,45,53,2,73,58
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c128.png,42,51,2,58,52
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c129.png,33,38,2,33,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c13.png,40,31,2,50,37
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c130.png,50,40,2,59,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c131.png,32,21,2,19,17
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c132.png,29,24,2,16,12
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c133.png,33,32,2,28,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c134.png,28,39,2,40,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c135.png,48,25,2,40,30
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c137.png,53,38,2,59,41
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c139.png,51,40,2,71,53
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c14.png,27,28,2,15,12
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c140.png,42,28,2,26,24
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c141.png,42,40,2,50,39
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c142.png,43,27,2,41,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c143.png,36,33,2,42,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c144.png,37,24,2,32,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c145.png,26,25,2,20,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c146.png,28,20,2,16,14
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c147.png,32,30,2,24,21
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c148.png,21,31,2,21,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c149.png,20,24,2,14,13
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c15.png,50,52,2,79,58
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c150.png,55,61,2,94,70
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c151.png,42,44,2,71,57
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c152.png,25,24,2,18,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c153.png,29,45,2,50,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c154.png,26,38,2,32,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c155.png,27,37,2,27,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c156.png,26,30,2,25,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c157.png,27,28,2,16,11
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c158.png,62,49,2,84,66
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c159.png,55,44,2,73,66
